student_id,minutes_watched,years,paid_in_q2
1283,0.33,2021,1
1284,586.48,2021,1
1292,33.93,2021,1
1294,1.75,2021,1
1299,55.57,2021,1
1306,68.93,2021,1
1308,388.75,2021,1
1313,0.55,2021,1
1317,776.42,2021,1
1323,60.5,2021,1
1324,90.7,2021,1
1327,160.47,2021,1
1330,108.1,2021,1
1331,101.38,2021,1
1336,9.65,2021,1
1347,29.93,2021,1
1350,1694.0,2021,1
1353,397.35,2021,1
1355,232.4,2021,1
1357,142.72,2021,1
1363,765.77,2021,1
1369,4.95,2021,1
1374,219.42,2021,1
1375,28.78,2021,1
1379,3143.92,2021,1
1382,17.15,2021,1
1388,87.18,2021,1
1389,66.67,2021,1
1393,0.05,2021,1
1395,133.52,2021,1
1397,2979.0,2021,1
1419,203.62,2021,1
1424,136.73,2021,1
1426,165.58,2021,1
1428,339.83,2021,1
1434,1690.6,2021,1
1437,318.9,2021,1
1459,95.22,2021,1
1461,7.8,2021,1
1463,7.25,2021,1
1465,47.45,2021,1
1468,10.93,2021,1
1471,0.05,2021,1
1473,48.87,2021,1
1481,30.05,2021,1
1482,354.67,2021,1
1491,2594.37,2021,1
1494,201.93,2021,1
1498,32.62,2021,1
1500,821.4,2021,1
1501,850.03,2021,1
1502,0.63,2021,1
1504,1072.95,2021,1
1513,272.3,2021,1
1522,196.95,2021,1
1531,2.7,2021,1
1532,2.22,2021,1
1535,831.2,2021,1
1537,0.13,2021,1
1538,191.57,2021,1
1542,2007.97,2021,1
1544,26.7,2021,1
1550,395.48,2021,1
1553,83.15,2021,1
1561,550.45,2021,1
1567,921.55,2021,1
1571,77.6,2021,1
1587,93.92,2021,1
1588,5.68,2021,1
1595,102.67,2021,1
1598,65.7,2021,1
1600,33.55,2021,1
1605,173.9,2021,1
1606,5.58,2021,1
1615,3.43,2021,1
1633,13.15,2021,1
1638,706.9,2021,1
1644,135.07,2021,1
1649,3.95,2021,1
1651,71.73,2021,1
1652,322.45,2021,1
1653,247.07,2021,1
1658,159.55,2021,1
1667,23.18,2021,1
1669,259.42,2021,1
1678,470.62,2021,1
1680,1.63,2021,1
1683,1078.18,2021,1
1686,0.13,2021,1
1688,1802.93,2021,1
1693,149.95,2021,1
1695,385.35,2021,1
1701,678.78,2021,1
1702,1.1,2021,1
1705,606.2,2021,1
1710,18.63,2021,1
1711,138.65,2021,1
1713,86.83,2021,1
1732,319.33,2021,1
1733,230.23,2021,1
1737,168.85,2021,1
1739,109.3,2021,1
1745,119.62,2021,1
1759,133.38,2021,1
1765,432.42,2021,1
1773,415.48,2021,1
1776,1695.52,2021,1
1778,887.55,2021,1
1784,0.13,2021,1
1790,1340.68,2021,1
1792,89.05,2021,1
1794,188.13,2021,1
1795,139.98,2021,1
1801,3.0,2021,1
1802,0.45,2021,1
1820,104.48,2021,1
1823,1499.22,2021,1
1825,487.42,2021,1
1827,1.6,2021,1
1835,1386.55,2021,1
1841,23.65,2021,1
1849,81.85,2021,1
1852,587.97,2021,1
1862,2.7,2021,1
1863,118.35,2021,1
1864,454.95,2021,1
1866,1084.68,2021,1
1867,6.07,2021,1
1875,848.48,2021,1
1880,94.98,2021,1
1881,130.05,2021,1
1896,1058.63,2021,1
1897,189.57,2021,1
1898,308.87,2021,1
1900,59.2,2021,1
1902,133.83,2021,1
1908,47.42,2021,1
1909,6.38,2021,1
1911,109.73,2021,1
1914,305.9,2021,1
1917,30.47,2021,1
1918,395.67,2021,1
1932,51.77,2021,1
1935,3.5,2021,1
1938,326.12,2021,1
1939,423.62,2021,1
1945,23.15,2021,1
1947,185.17,2021,1
1950,214.77,2021,1
1957,304.4,2021,1
1959,259.47,2021,1
1960,276.38,2021,1
1977,994.55,2021,1
1993,144.38,2021,1
1994,216.18,2021,1
2003,93.12,2021,1
2010,85.78,2021,1
2018,215.3,2021,1
2019,39.82,2021,1
2022,21.32,2021,1
2026,65.1,2021,1
2051,161.57,2021,1
2054,1562.08,2021,1
2055,53.47,2021,1
2056,55.85,2021,1
2058,0.42,2021,1
2064,232.02,2021,1
2066,1085.98,2021,1
2078,10.13,2021,1
2079,4.47,2021,1
2081,706.77,2021,1
2084,0.4,2021,1
2091,2258.58,2021,1
2092,848.05,2021,1
2093,496.12,2021,1
2099,250.57,2021,1
2104,44.12,2021,1
2106,1.98,2021,1
2108,304.3,2021,1
2112,2237.68,2021,1
2113,43.52,2021,1
2114,696.33,2021,1
2118,554.62,2021,1
2120,581.67,2021,1
2130,92.05,2021,1
2135,16.83,2021,1
2136,1209.87,2021,1
2149,604.18,2021,1
2154,223.72,2021,1
2157,4.47,2021,1
2160,51.12,2021,1
2162,114.65,2021,1
2167,709.68,2021,1
2170,3.3,2021,1
2185,965.85,2021,1
2187,643.38,2021,1
2188,856.53,2021,1
2190,419.65,2021,1
2195,403.48,2021,1
2207,332.4,2021,1
2213,38.28,2021,1
2217,64.05,2021,1
2218,1005.17,2021,1
2222,10.15,2021,1
2229,574.57,2021,1
2231,131.42,2021,1
2233,330.63,2021,1
2236,18.37,2021,1
2248,1398.23,2021,1
2255,17.92,2021,1
2256,41.97,2021,1
2258,1077.97,2021,1
2265,90.55,2021,1
2266,81.12,2021,1
2267,92.4,2021,1
2274,368.78,2021,1
2275,0.25,2021,1
2278,0.67,2021,1
2284,135.93,2021,1
2290,220.47,2021,1
2292,8.5,2021,1
2295,12.08,2021,1
2303,19.08,2021,1
2304,195.35,2021,1
2306,20.45,2021,1
2308,1.7,2021,1
2312,51.25,2021,1
2318,3.58,2021,1
2324,2069.83,2021,1
2332,34.13,2021,1
2335,36.38,2021,1
2338,42.35,2021,1
2339,182.27,2021,1
2340,150.0,2021,1
2351,18.75,2021,1
2354,1848.67,2021,1
2359,26.08,2021,1
2362,125.08,2021,1
2364,397.43,2021,1
2375,59.8,2021,1
2377,61.92,2021,1
2385,367.62,2021,1
2397,712.63,2021,1
2398,0.42,2021,1
2403,2.37,2021,1
2406,36.0,2021,1
2409,1648.95,2021,1
2410,462.68,2021,1
2414,219.82,2021,1
2417,47.23,2021,1
2429,16.12,2021,1
2431,12.58,2021,1
2437,72.22,2021,1
2441,188.0,2021,1
2447,574.28,2021,1
2463,6.98,2021,1
2477,54.48,2021,1
2495,0.18,2021,1
2501,145.05,2021,1
2506,11.5,2021,1
2516,72.4,2021,1
2529,84.67,2021,1
2536,905.38,2021,1
2544,31.4,2021,1
2546,95.87,2021,1
2550,9.62,2021,1
2555,105.8,2021,1
2575,77.85,2021,1
2577,3.45,2021,1
2582,1577.52,2021,1
2591,1674.27,2021,1
2617,158.37,2021,1
